[2025-11-21 18:54:19] | admin | Logged in successfully.
[2025-11-21 18:57:32] | player123 | Logged in successfully.
[2025-11-21 18:57:50] | player123 | Logged in successfully.
[2025-11-21 18:58:10] | player123 | Bought Evil Wizard from the Shop for 300.0G.
[2025-11-21 20:43:00] | admin | Logged in successfully.
[2025-11-21 20:45:37] | player123 | Logged in successfully.
[2025-11-21 20:46:17] | player123 | Logged in successfully.
[2025-11-21 20:46:57] | player123 | Bought Warrior from the Shop for 300.0G.
[2025-11-21 21:00:24] | player123 | Logged in successfully.
[2025-11-21 21:04:11] | player123 | Logged in successfully.
[2025-11-21 21:07:24] | player123 | Logged in successfully.
[2025-11-21 21:08:36] | player123 | Logged in successfully.
[2025-11-21 21:18:37] | player123 | Logged in successfully.
[2025-11-21 21:20:26] | player123 | Logged in successfully.
[2025-11-21 21:21:43] | player123 | Logged in successfully.
[2025-11-21 21:22:19] | player123 | Logged in successfully.
